date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:00	23/23	---M--	200	added ('OK')	text/plain	etag:%2262432c25-17%22	https://hotels.ng/robots.txt		(from )
22:06:00	134040/134040	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:42%20GMT	https://hotels.ng/	C:/Users/pc/Desktop/hotel%20web/hotels.ng/index.html	(from )
22:06:02	1590/1590	---M--	200	added ('OK')	image/png	etag:%2262432c25-636%22	https://static.hotels.ng/v7/img/favicons/hotels.ng/favicon.png	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/img/favicons/hotels.ng/favicon.png	(from https://hotels.ng/)
22:06:02	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/pc/Desktop/hotel%20web/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://hotels.ng/)
22:06:03	6174/6174	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ff3-181e%22	https://cdnjs.cloudflare.com/ajax/libs/svg4everybody/2.1.9/svg4everybody.js	C:/Users/pc/Desktop/hotel%20web/cdnjs.cloudflare.com/ajax/libs/svg4everybody/2.1.9/svg4everybody.js	(from https://hotels.ng/)
22:06:04	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/pc/Desktop/hotel%20web/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://hotels.ng/)
22:06:04	16166/16166	---M-Z	200	added ('OK')	text/css	etag:W/%223f26-J8BN8VjBcy9mnostEH/TFP6t00A%22	https://cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.min.css	C:/Users/pc/Desktop/hotel%20web/cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.min.css	(from https://hotels.ng/)
22:06:05	458431/458431	---MCZ	200	added ('OK')	text/css	etag:W/%2262beac54-6febf%22	https://static.hotels.ng/v7/stylesheets/css/appv80.min.css?v=17.6	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/stylesheets/css/appv80.minfd6b.css	(from https://hotels.ng/)
22:06:05	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-17b8b%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/pc/Desktop/hotel%20web/cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://hotels.ng/)
22:06:08	175638/175638	---M--	200	added ('OK')	text/javascript	etag:10125064101136933726	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/pc/Desktop/hotel%20web/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://hotels.ng/)
22:06:08	2700/2700	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-a8c%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-light-latin-ext.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-light-latin-ext.woff2	(from https://hotels.ng/)
22:06:08	203000/203000	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2015%20Oct%202023%2021:05:50%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/pc/Desktop/hotel%20web/connect.facebook.net/en_US/fbevents.js	(from https://hotels.ng/)
22:06:09	13680/13680	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-3570%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-light-latin.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-light-latin.woff2	(from https://hotels.ng/)
22:06:09	2756/2756	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-ac4%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-regular-latin-ext.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-regular-latin-ext.woff2	(from https://hotels.ng/)
22:06:09	13860/13860	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-3624%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-regular-latin.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-regular-latin.woff2	(from https://hotels.ng/)
22:06:09	2724/2724	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-aa4%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-bold-latin-ext.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-bold-latin-ext.woff2	(from https://hotels.ng/)
22:06:10	13952/13952	---M--	200	added ('OK')	font/woff2	etag:%2262432c25-3680%22	https://hotels.ng/media/v7/stylesheets/fonts/lato-bold-latin.woff2	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/stylesheets/fonts/lato-bold-latin.woff2	(from https://hotels.ng/)
22:06:11	393642/393642	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262432c25-601aa%22	https://hotels.ng/media/v7/img/logo/logo.svg	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/img/logo/logo.svg	(from https://hotels.ng/)
22:06:11	1434/1434	---M--	200	added ('OK')	image/jpeg	etag:%2262432c25-59a%22	https://static.hotels.ng/v7/img/navbar-contact-min.jpg	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/img/navbar-contact-min.jpg	(from https://hotels.ng/)
22:06:11	57634/57634	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262432c25-e122%22	https://hotels.ng/media/v7/img/header.svg	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/img/header.svg	(from https://hotels.ng/)
22:06:12	150759/150759	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:54%20GMT	https://hotels.ng/signin	C:/Users/pc/Desktop/hotel%20web/hotels.ng/signin.html	(from https://hotels.ng/)
22:06:12	849461/849461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22625fbe6b-cf635%22	https://hotels.ng/media/v7/img/icons.svg	C:/Users/pc/Desktop/hotel%20web/hotels.ng/media/v7/img/icons.svg	(from https://hotels.ng/)
22:06:13	151224/151224	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:56%20GMT	https://hotels.ng/signup	C:/Users/pc/Desktop/hotel%20web/hotels.ng/signup.html	(from https://hotels.ng/)
22:06:15	162926/162926	---M--	200	added ('OK')	image/jpeg	etag:%2262432c25-27c6e%22	https://static.hotels.ng/v7/img/v7-homepage1.jpg	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/img/v7-homepage1.jpg	(from https://hotels.ng/)
22:06:15	653463/653463	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:58%20GMT	https://hotels.ng/hotels-in-lagos	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-lagos.html	(from https://hotels.ng/)
22:06:16	497195/497195	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:05:58%20GMT	https://hotels.ng/hotels-in-abuja	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-abuja.html	(from https://hotels.ng/)
